Identificador,FK_Evaluacion_Evaluacion,FK_Alumnos_Apellidos_Nombre,FK_Modulos_Nombre,FK_Notas_Nota,Nota Real
27,1,1625,301,10,9
49,1,1620,261,11,10
50,1,1619,261,11,10
51,1,1542,261,11,10
52,1,1640,261,10,9
53,1,1554,261,11,10
54,1,2245,261,3,2
55,1,99,261,11,10
56,1,1624,261,11,10
57,1,1498,261,11,10
58,1,1656,261,6,5
59,1,1573,261,4,3
60,1,2247,261,2,1
61,1,1613,261,7,6
62,1,992,261,9,8
63,1,1550,261,11,10
64,1,1491,261,11,10
65,1,893,261,11,10
66,1,2250,261,6,5
67,1,2251,261,11,10
69,1,2253,261,9,8
70,1,1544,261,11,10
71,1,1616,261,11,10
72,1,1559,261,11,10
73,1,892,203,7,6
74,4,882,203,11,10
75,1,1402,203,5,4
76,1,2202,203,6,5
77,1,1614,203,11,10
78,1,2203,203,6,5
79,1,1589,203,9,8
80,1,1636,203,8,7
81,1,1578,203,7,6
82,1,2205,203,8,7
83,1,1599,203,6,5
84,1,2206,203,9,8
85,1,1585,203,7,6
86,1,2208,203,10,9
87,1,1608,203,6,5
88,1,1646,203,7,6
89,1,1546,203,8,7
90,1,1485,16,7,6
93,1,2209,16,8,7
94,1,1496,16,6,5
95,1,1598,16,10,9
96,1,1513,16,10,9
97,1,2211,16,7,6
100,1,1630,16,9,8
101,1,983,16,9,8
102,1,112,16,8,7
103,1,1551,16,6,5
104,1,1480,16,7,6
105,1,1586,16,11,10
106,1,1517,16,8,7
107,1,1590,16,11,10
108,1,1548,16,10,9
109,1,1591,16,7,6
110,1,1483,16,10,9
111,1,1623,16,7,6
112,1,1522,16,10,9
113,1,2210,16,9,8
114,1,1634,16,10,9
115,1,1618,16,5,4
116,1,1621,164,9,8
117,1,2143,164,9,8
118,1,1577,164,11,10
119,1,2207,164,11,10
120,1,2195,164,11,10
121,1,2196,164,9,8
122,1,2089,164,10,9
123,1,1555,164,10,9
124,1,1150,164,10,9
125,1,1149,164,10,9
126,1,1277,164,10,9
127,1,1404,164,9,8
128,1,1187,164,10,9
129,1,1621,163,9,8
130,1,2143,163,10,9
131,1,1577,163,11,10
132,1,2207,163,11,10
133,1,2195,163,11,10
134,1,2196,163,10,9
135,1,2089,163,10,9
136,1,1555,163,10,9
137,1,1150,163,10,9
138,1,1149,163,10,9
139,1,1277,163,10,9
140,1,1404,163,10,9
141,1,1187,163,10,9
142,1,1481,196,7,6
143,1,1798,196,12,11
144,1,1952,196,11,10
145,1,1879,196,4,3
146,1,1875,196,10,9
147,1,2123,196,9,8
148,1,1702,196,9,8
149,1,1881,196,9,8
150,1,1883,196,10,9
151,1,1884,196,8,7
152,1,1885,196,8,7
153,1,1886,196,11,10
154,1,2169,196,8,7
155,1,1888,196,8,7
156,1,1889,196,9,8
157,1,1890,196,8,7
158,1,1891,196,8,7
159,1,1895,196,7,6
160,1,1951,196,6,5
161,1,1797,196,9,8
162,1,1858,196,10,9
163,1,1892,196,12,11
164,1,1865,196,5,4
165,1,1944,196,9,8
166,1,2167,196,7,6
167,1,2109,196,8,7
168,1,2000,196,5,4
169,1,1893,196,8,7
170,1,1358,196,8,7
171,1,1894,196,8,7
172,1,2082,196,8,7
173,1,1953,196,8,7
174,1,1481,198,4,3
175,1,1798,198,12,11
176,1,1952,198,8,7
177,1,1879,198,6,5
178,1,1875,198,9,8
179,1,2123,198,9,8
180,1,1702,198,9,8
181,1,1881,198,9,8
182,1,1883,198,9,8
183,1,1884,198,9,8
184,1,1885,198,9,8
185,1,1886,198,11,10
186,1,2169,198,7,6
187,1,1888,198,5,4
188,1,1889,198,9,8
189,1,1890,198,8,7
190,1,1891,198,9,8
191,1,1895,198,4,3
192,1,1951,198,7,6
193,1,1797,198,8,7
194,1,1858,198,9,8
195,1,1892,198,12,11
196,1,1865,198,4,3
197,1,1944,198,9,8
198,1,2167,198,8,7
199,1,2109,198,10,9
200,1,2000,198,5,4
201,1,1893,198,11,10
202,1,1358,198,6,5
203,1,1894,198,9,8
204,1,2082,198,7,6
205,1,1953,198,8,7
206,1,882,206,11,10
207,1,1402,206,13,12
208,1,2202,206,8,7
209,1,1614,206,7,6
210,1,2203,206,5,4
211,1,1589,206,6,5
212,1,892,206,7,6
213,1,1636,206,7,6
214,1,1578,206,8,7
215,1,2205,206,7,6
216,1,2206,206,9,8
217,1,1585,206,9,8
218,1,2208,206,11,10
219,1,1608,206,7,6
220,1,1646,206,8,7
221,1,1546,206,4,3
222,1,1599,206,9,8
223,1,1584,206,6,5
224,1,1277,166,13,12
225,1,2195,166,9,8
226,1,1621,166,13,12
227,1,1577,166,13,12
228,1,2143,166,9,8
229,1,2207,166,11,10
230,1,1149,166,13,12
231,1,1555,166,7,6
232,1,1187,166,13,12
233,1,2089,166,13,12
234,1,1150,166,13,12
235,1,1404,166,13,12
236,1,2351,33,8,7
237,1,2268,33,9,8
238,1,2269,33,9,8
239,1,2270,33,9,8
240,1,2271,33,9,8
241,1,2272,33,8,7
242,1,1606,33,10,9
243,1,2273,33,9,8
244,1,2274,33,7,6
245,1,2275,33,7,6
246,1,2276,33,9,8
247,1,2277,33,8,7
248,1,2278,33,9,8
249,1,2281,33,9,8
250,1,2283,33,8,7
251,1,2284,33,9,8
252,1,2285,33,9,8
253,1,2286,33,9,8
254,1,2287,33,8,7
255,1,1620,265,9,8
256,1,1619,265,10,9
257,1,1542,265,10,9
258,1,1640,265,9,8
259,1,1554,265,10,9
260,1,2245,265,4,3
261,1,1624,265,10,9
262,1,1498,265,9,8
263,1,1656,265,9,8
264,1,1573,265,7,6
265,1,2247,265,6,5
266,1,1613,265,6,5
267,1,992,265,8,7
268,1,1491,265,10,9
269,1,893,265,9,8
270,1,2250,265,8,7
271,1,2251,265,10,9
272,1,1493,265,8,7
273,1,2253,265,8,7
274,1,1544,265,9,8
275,1,1616,265,9,8
276,1,1559,265,10,9
277,1,2009,10,8,7
278,1,1999,10,9,8
279,1,1927,10,11,10
280,1,1904,10,7,6
281,1,1945,10,8,7
282,1,1770,10,9,8
283,1,1757,10,7,6
284,1,1760,10,8,7
285,1,1756,10,7,6
286,1,2384,10,10,9
287,1,2025,10,7,6
288,1,1948,10,11,10
289,1,1767,10,8,7
290,1,1763,10,7,6
291,1,1929,10,7,6
292,1,1941,27,10,9
293,1,1960,10,9,8
294,1,1758,10,8,7
295,1,1871,10,7,6
296,1,1755,10,9,8
297,1,1939,10,6,5
298,1,1769,10,7,6
299,1,1771,10,8,7
300,1,1965,10,5,4
301,1,1899,10,11,10
302,1,2190,10,9,8
303,1,1958,10,9,8
304,1,1762,10,12,11
305,1,1772,10,8,7
306,1,1773,10,9,8
308,1,2159,358,8,7
309,1,1522,30,9,8
310,1,2284,30,8,7
311,1,2285,30,9,8
312,1,2269,30,4,3
313,1,2273,30,7,6
314,1,2272,30,8,7
315,1,2271,30,7,6
316,1,2374,27,9,8
317,1,2260,27,10,9
318,1,2062,27,8,7
319,1,2365,27,12,11
320,1,2106,27,9,8
321,1,2391,44,8,7
322,1,2105,27,9,8
323,1,1825,27,8,7
324,1,2042,27,8,7
325,1,2060,27,7,6
326,1,1997,27,4,3
327,1,2076,27,10,9
328,1,2353,27,8,7
329,1,2026,27,11,10
330,1,2074,27,8,7
331,1,2132,27,9,8
332,1,2050,27,9,8
333,1,2015,27,10,9
334,1,2068,27,9,8
335,1,2668,27,10,9
336,1,2243,27,7,6
337,1,2133,27,9,8
338,1,1981,27,11,10
339,1,2088,27,8,7
